Cities,Latitudinal Coordinates,Temperature,Humidity,WindSpeed,Sky Condition,Cloud Percentage
kashiwazaki,62.65,19.24,92,6.34,light snow,100
galgani,19.45,68.67,93,3.53,few clouds,11
belokurikha,32.79,58.39,93,1.96,clear sky,1
owensboro,-2.02,84.54,65,4.81,moderate rain,54
trofors,43.97,24.93,73,3.36,clear sky,1
cairns,22.57,89.13,40,4.5,clear sky,0
barbar,-43.3,55.22,56,17.96,scattered clouds,50
boende,35.55,66.45,100,23.04,shower rain,75
chandbali,39.15,52.16,29,2.69,clear sky,1
shiraoi,-27.49,72.07,65,3.27,clear sky,1
sentyabrskiy,26.54,78.15,74,14.22,broken clouds,52
rundu,4.57,68.97,94,3.22,moderate rain,100
mersing,65.95,16.86,73,3.91,broken clouds,55
biankouma,35.73,76.28,100,33.33,shower rain,75
shar,14.69,77.85,94,7.68,broken clouds,75
bani walid,-31.97,78.8,13,4.7,clear sky,1
chemal,5.35,85.46,59,9.73,light rain,1
tilichiki,-28.77,67.44,76,20.9,clear sky,1
ilulissat,52.06,58.46,76,16.11,scattered clouds,40
palmer,51.16,49.62,68,12.24,light rain,100
bandarbeyla,34.64,49.64,45,5.82,clear sky,1
manta,64.27,27.66,53,3.29,clear sky,0
mangrol,-34.72,64.49,52,9.76,scattered clouds,33
kattivakkam,-29.95,50.0,87,4.7,broken clouds,67
vulturu,39.0,48.47,100,3.36,clear sky,1
guiratinga,13.49,78.8,94,6.93,few clouds,20
port augusta,49.72,37.4,93,8.05,light rain,90
eenhana,48.03,51.35,76,10.06,clear sky,0
outram,63.46,37.18,90,7.21,overcast clouds,100
atbasar,-9.01,78.04,74,15.93,light rain,71
